id,type,keyword,confidence,settlement,repository,desc
CarlisleChoir,wallPainting,painted,high,"Carlisle, Cumbria",Carlisle Cathedral,"backs of choir stalls, painted"
CarlisleChoir2,wallPainting,painted,high,"Carlisle, Cumbria",Carlisle Cathedral,"backs of choir stalls, painted"
CarlisleCeiling,architectural,Tower,high,"Carlisle, Cumbria",Carlisle Cathedral,"Prior's Tower, ceiling beams"
Arreton,monument,brass,high,Isle of Wight,Arreton Church,brass
Knowles,monument,brass,high,olim London,"St Anthony's [Antlins] Church, Budge Row",brass tomb of Thomas and Joan Knowles
Savage,monument,brass,high,"Buxted, Sussex",Church of St. Margaret the Queen,"brass plaque marking tomb of Christine Savage (ca. 1450), chancel, underneath
            carpet"
Constable,monument,tomb,high,"Flamborough, N. Yorkshire",Church of St Oswald,tomb of Marmaduke Constable (d. 1520)
Kelshall,monument,brass,high,"Kelshall, Hertfordshire",Church of St Faith,"brass tomb on floor at eastern end of nave in centre, at entrance to chancel"
Amys2,monument,brass,high,"Barton Turf, Norfolk",Church of St Michael & All Angels,"brass tomb of Thomas and Margery Amys (d. 1445), on floor of south chapel, beside
            chancel (south-east corner of church)"
Spycer,monument,tomb,high,"Burford, Oxfordshire",Church of St John the Baptist,"tomb of John and Alys Spycer (d. 1437), center aisle at east end, brass tomb, beneath
            kneeling figures"
Lawnder,monument,tomb,high,"Northleach, Gloucestershire",Church of Saints Peter and Paul,"tomb of William Lawnder, vicar of Northleach (d. 1530), on floor at base of south wall
            of chancel, before communion rail, in brass border"
Spycer2,monument,tomb,high,"Burford, Oxfordshire",Church of St John the Baptist,"tomb of John and Alys Spycer (d. 1437), center aisle at east end, brass tomb, scrolls
            from mouths of figures"
Quartermain,monument,tomb,high,"Thame, Oxfordshire","Church of the Blessed Virgin Mary, St. Christopher's Chapel","south-east corner of nave, tomb of Richard and Sibyl Quartermain, brass around edge of
            lid of elevated tomb"
Thorndon,monument,brass,high,"Frettenham, Norfolk",St. Swithin's Church,"brass tomb of Alice Thorndon (d. 1420) on floor at base of north wall of
            chancel"
StPaulsCloister,architectural,cloister,high,olim London,St. Paul's Cathedral,cloister walls
HighEaster,monument,brass,high,"olim High Easter, Essex",St Marys Church [?],"North Aisle, brass plaque on wall above tomb"
CarlislePriorsTower,architectural,Tower,high,"Carlisle, Cumbria",Carlisle Cathedral,"Prior's Tower, ceiling beams"
Fortey,monument,tomb,high,"Northleach, Gloucestershire",Church of Saints Peter and Paul,"tomb of John Fortey (d. 1458), set in floor of north aisle between 2nd and 3rd pillars
            of nave, in brass border"
Colwell,monument,tomb,high,"Faversham, Kent",Church of ***,tomb of Richard Colwell
Idley,monument,memorial,high,"Dorchester, Oxford",Abbey Church,"memorial brass for Peter Idley, A.D. 1473, now destroyed"
Baret,monument,tomb,high,"Bury St. Edmunds, Suffolk","St. Mary's Church, SE corner of the nave","tomb of John Baret, A.D. 1463"
GoldenCross,wallPainting,painted,high,Oxford,Golden Cross Inn,walls in 'painted chamber'
Crawley,architectural,inscription,high,Sussex,Crawley Church,inscription in pew
Nordell,monument,epitaph,high,"Lombard Street, London",St. Edmund's Church,"epitaph, tomb of Richard Nordell and wife (A.D. 1500)"
Ridgewell,graffito,graffit,high,"Ridgewell, Essex",Church of St Lawrence,graffito
StOlave,monument,epitaph,high,"Hart Street, London",St. Olave's Church,epitaph
Hexham,architectural,inscription,high,"Hexham, Northumbria",Gilesgate,inscription over door of house
Victor,monument,tomb,high,"St Albans, Hertfordshire, UK",St. Albans Abbey,"tomb of William and Grace Victor, A.D. 1486"
Launceston,architectural,wall,high,Cornwall,olim Launceston Priory,"a wall inscription, no longer visible"
Melford,object,,low,"Long Melford, Suffolk","Church of the Holy Trinity, Clopton Chapel",
Melford2,wallPainting,wall painting,high,"Long Melford, Suffolk","Church of the Holy Trinity, Clopton Chapel",wall paintings around edge of ceiling and on ceiling
Colney,monument,Tomb,high,Norfolk,Colney Church,"Tomb of Sir Thomas Bettys, A.D. 1481, no longer extant"
Garboldesham,object,,low,"Garboldesham, Norfolk",Church of St. John the Baptist,
None,object,,low,No surviving witness,,
Horley,wallPainting,mural,high,"Horley, Oxon",parish church,"mural on north wall, two scrolls"
Evans,object,ring,high,,,"Sir Arthur Evans, a ring: Exhibition of Eng. Med. Art, London, 1930, Item 862"
StBride,monument,Tomb,high,London,St. Bride's Church,"Tomb of William Wever, A.D. 1409"
Wever,monument,tomb,high,London (demolished in 1634),"St. Alban's, Wood Street","tomb epitaph of Sir Harry Wever and his wife Joan, ca. 1405"
Mercer,monument,Epitaph,high,London,Mercer's Chapel,"Epitaph for Ambrose Cresacre, A.D. 1477"
Atkinson,architectural,Inscription,high,present location unknown,olim Mrs Atkinson of Temple Sowerby,Inscription on a brooch
Mercers,object,cup,high,London,Mercer's Company,cup
Almondbury,architectural,running around,high,Yorkshire,Almondbury Church,"running around nave at tops of walls, below roof"
MagdaleneMalvern,architectural,porch,high,"Bath, Somerset",Chapel of St Mary Magdalene in parish of Widcombe and Lyncombe,dedicatory lines inscribed in east side of the porch
GreatMalvern,object,tile,high,"Malvern, Worcestershire","Great Malvern Priory, St. Anne's Chapel",a tile fixed in a pillar near the west end of the nave
Grafton,object,,low,"Grafton Manor, Worcestershire",Inscription over parlor window,
SalisburyMuseum,object,tile,high,"Salisbury, Wiltshire",Salisbury and South Wiltshire Museum,a tile
Broughton,wallPainting,wall painting,high,"Broghton, Oxfordshire",Broughton Church,wall paintings of Life of Virgin on chancel wall
Pickering,monument,tomb,high,London,St Lawrence-in-Jewry Church,tomb of Jon Pickering
Drury,monument,tomb,high,"Wooburn, Buckinghamshire",Church of St Paul's,tomb of Sir Robert Drury
Emberton,monument,epitaph,high,"Emberton, Buckinghamshire",Emberton Church,epitaph
Woode,monument,tomb,high,?,,tomb of John Woode
Notextant,object,,low,No longer extant,,
Royston,monument,brass,high,"Royston, Hertfordshire",Church of St John the Baptist,small rectangular brass on east wall of north aisle
Street,monument,epitaph,high,olim London,"St Anthony's [Antlins] Church, Budge Row",epitaph of Simon and Agnes Street (d. 1440)
Marsham,object,,low,Norwich,house on corner of St John Maddermarket and Charing Cross,No longer extant?
Jug,object,copper,high,London,British Museum,"copper jug, temp. Richard II"
Lakenheath,glazing,glass,high,"olim Lakenheath Grove, Norwich",summerhouse,"fifteenth-century glass fitted to eighteenth-century building, surviving in 1932;
            possibly (?)originally from Duke of Norfolk's house in Newgate, Norwich"
Vaux,monument,epitaph,high,olim Cumberland,Lanercost Church,epitaph
Gunwalloe,monument,epitaph,high,"Gunwalloe (south of Helston), Cornwall",Gunwalloe Church,epitaph
Pembroke,object,cup,high,Cambridge,Pembroke College,drinking cup
Melrose,architectural,wall,high,"Melrose, Scotland",Melrose Abbey,"transept, well wall"
Brasyer,architectural,lectern,high,Norwich,Guildhall Chapel,lectern inscription
Thorold,object,mazer,high,"New York, NY","Metropolitan Museum of Art, Cloister Collections, 55.25",inscription on a mazer [formerly belonging (in 1930) to Major Thorold]
CantCathMazer,object,mazer,high,Present location unknown,olim Canterbury Cathedral,inscription on a mazer
CantCathMazer2,object,mazer,high,Present location unknown,olim Canterbury Cathedral,inscription on a mazer
Bontfant,monument,Epitaph,high,"Stone, Kent",[Minster Church?],Epitaph of Richard Bontfant (1459)
JCaxton,monument,Epitaph,high,"Canterbury, Kent",St. Alphege Church,Epitaph of John and Joane Caxton (1485)
Palmer,monument,Epitaph,high,"Snodland, Kent",church of Snodland,Epitaph of Thomas and Mary Palmer (1407)
Flint,monument,tomb,high,Norwich,St. Peter Maddermarket,"tomb of Ann Flint, d. 1525 (no longer extant)"
Brigge,monument,Brass,high,"Salle, Norfolk",Church of SS Peter and Paul,Brass of John Brigge (d. 1454) ('an emaciated figure in a shroud')
Barber,monument,Monument,high,"Abingdon, Berkshire","Christ's Hospital, Governor's Archives","Object 13 (MS), 'Forman's Monument'"
Payne,monument,epitaph,high,London,St. Nicholas Acons Church,epitaph of Richard Payne (1463)
Burlton,monument,epitaph,high,"Dartford, Kent",Church of the Holy Trinity,"epitaph (brass) on the tomb of Catherine Burlton and Richard, her husband (1496)"
Stokys,monument,epitaph,high,"Hampton-in-Arden, Warwickshire",church,epitaph tomb of R. Stokys
Acworth,monument,brass,high,"Luton, Bedfordshire",church,Acworth brass (1513)
Witney,monument,epitaph,high,"Witney, Oxfordshire",church,epitaph on the tomb of Richard Waynman
Busby,monument,Brass,high,"Great Tew, Oxfordshire",church,Brass epitaph for William Bosby (1513)
Brightwell,monument,Brass,high,"Brightwell, Oxfordshire",Brightwell Church,"Brass epitaph for John the Smith, mounted on the wall"
Yarnton,object,,low,"Yarnton, Oxfordshire",Church. stained glass window (no longer extant),
Barrington,graffito,graffit,high,"Barrington, Cambridgeshire",Barrington Church,a graffito
Campsall,architectural,wall,high,"Campsall, Yorkshire",church,wall inscription
Cowling,architectural,inscription,high,"nr. Cobham, Kent",Cowling Castle,inscription on the eastern tower of the gateway
Bristol,object,Sword,high,"Bristol, England",Bristol Mansion House,"The Pearl Sword, late fourteenth century"
Chamberleyn,monument,tomb,high,"London, England",All-Hallows-the-Less Church (no longer extant),tomb of John Chamberleyn
Taplow,monument,brass,high,"Taplow, Buckinghamshire","St. Nicholas Church, south-east corner or south chapel of chancel","brass tomb of Richard Manfeld, Isabelle Manfeld, and John Manfeld, A.D. 1455"
Wenlock,monument,tomb,high,"Luton, Bedforshire",St. Mary's Church,tomb of William (Wyvell) Wenlock (d. 1391)
Skipwith,monument,tomb,high,"St Alban's, Hertfordshire",St.Peter's Church,tomb of Richard Skipwith (d. 1416)
Smarmore,object,slate,high,"Dublin, Ireland",National Museum,"No. 1961.8: slate discovered at Smarmore, Co. Louth"
Sittingbourne,monument,epitaph,high,"Sittingbourne, Kent",parish church,"epitaph, A.D. 1458"
Coventry,glazing,glass,high,"Coventry, Warwickshire",Trinity Church,stained glass window
Gaunt,architectural,inscription,high,"Bedford, Bedfordshire",Doctor's Commons,inscription over arches
Romford,monument,Tomb,high,"Romford, Essex","St Edward the Confessor, Romford Church",Tomb of Piers and Elizabeth Jon
Spenser,monument,epitaph,high,olim London,"St Anthony's [Antlins] Church, Budge Row",epitaph of Joan Spenser (d. 1407)
Wentworth,monument,tomb,high,London,"olim St Michael, Crooked Lane","tomb of William Wentworth, mayor of London, d. 1383"
Banknot,monument,tomb,high,"Stone, Kent",Church of St Mary the Virgin,"tomb of William and Anne Banknot, d. 1400"
Stubbe,monument,tomb,high,"Buxton, Norfolk",Church,"tomb of Walter Stubbe, d. 1528, no longer extant"
Hunt,monument,brass,high,"Great Linford, Buckinghamshire",St Andrews Church,"brass tomb of Roger and Johanne Hunt, d. 1473"
Wilton,monument,tomb,high,"Norwich, Norfolk",Church St Peter Mancroft,"tomb of Henry and Margaret Wilton, d. 1507 and 1500, no longer extant"
Willoughby,monument,epitaph,high,"Raveningham, Norfolk","St Andrew, Raveningham","epitaph for Margaret Willoughby, A.D. 1483"
deHem,monument,tomb,high,"Norwich, Norfolk",Church of St Miles,"tomb of Anna de Hem, d. 1503, no longer extant"
Sheef,monument,tomb,high,"Norwich, Norfolk","St. George, Tombland","tomb of Thomas and Marion Sheef, 1483, no longer extant"
Robinson,object,jug,high,London,"Victoria and Albert Museum, 217-1879","inscription on a fourteenth-century jug (olim manor house in Norfolk; Robinson
            Collection)"
Maners,monument,tomb,high,olim Warwick,Collegiate Church of St Mary,"floor of nave, tomb of John Maners, d. 1492"
Ormsby,monument,brass,high,"Great Ormsby, Norfolk",,"brass tomb, A. D. 1440"
Edmonton,monument,tomb,high,London,Edmonton church,[a Mandevill or Dacier tomb?]
Foster,object,copper,high,olim London,Ludgate Chapel,copper plate
Middleton,architectural,font,high,"Middleton, Suffolk",Church of the Holy Trinity,baptismal font
Streatham,monument,tomb,high,"Streatham, Surrey",[Saint Leonard's?] Church,tomb of Margaret Cantelowe
Hedon,object,picture,high,"Hedon, Yorkshire",St Austin's Church,picture once hanging on wall
Dalusse,monument,Epitaph,high,London,St Martin's Church,"Epitaph, A.D. 1469, for Robert Dalusse"
Bowf,monument,brass,high,"Pakefield, Norfolk",Church of All Saints and St Margaret,brass tomb of John Bowf mounted on north wall
Pickering2,wallPainting,wall painting,high,"Pickering, North Yorkshire",Church of Sts Peter and Paul,wall painting of martyrdom of St Edmund on eastern end of northern wall of nave
Knolles,monument,Tomb,high,London,"St. Antholin's(?), Budge Row (demolished 1874)",Tomb of Thomas Knolles
Hereford,architectural,door,high,Hereford,Hereford Cathedral,Not extant; formerly at entrance to great west door
Higham,monument,Monument,high,"Higham, Kent",,"Monumental brass for Robert Hylton, yeoman of guard to Henry VIII, 1523"
StokeDAbernon,monument,Monument,high,"Stoke D'Abernon, Surrey",,"Monumental brass inscription in 8 English black letter verses for John Pynnoke, first priest of the chantry founded by Sir John Norbury, 1521"
Puddletown,monument,Monument,high,"Puddletown, Dorset",,"Monumental brass inscription for Sir William Martyn, 1524"
Hornsey,monument,chrysom,high,"Hornsey, Middlesex",,A chrysom brass inscribed with 2 English verses
Weare,monument,Monument,high,"Weare, Somerset",,"Monumental brass effigy in civilian dress with foot inscription in three lines of English verse, not dated but c. 1505"
Quorndon,monument,Incised,high,"Quorndon, Leicestershire",,Incised slab to William Farnham (d. 1548)
Wodford,monument,slab,high,"Ashby Folville, Leicestershire",,Alabaster slab for Ralph Wodford esq (d. 1498)
Were,monument,monument,high,"Milbrook, Bedfordshire",,Not extant; monumental brass for priest in mass vestments with inscription in 4 English verses; c. 1430
Norwich1535,glazing,Window,high,Norwich,"Guildhall, Mayoral Council Chamber","1535; 1. Window glazed at expense of Robert Ferrour, mayor of Norwich in 1526 and 1536, and Robert Jannys, mayor of Norwich in 1517 and 1524"
Axbridge,glazing,glass,high,"olim Axbridge, Somerset",Formerly in townhall (now in Axbridge Museum),Stained glass roundel with nimbed dove descending in a glory with a scroll; (early sixteenth century?)
Tickhill,glazing,window,high,"Tickhill, Yorkshire",,Not extant; dedicatory inscription in east window of south (Lady) chapel; n.d. (probably fifteenth century)
Criston,glazing,window,high,"Titchmarsh, Northamptonshire",,Eastern window of south aisle over  the portrait of a person praying
Thornhill,monument,tomb,high,"Thornhill, Yorkshire",,"Carved inscription around wooden tomb of Sir John Savile, (d. 1505), and his two wives Alice (Vernon) (d. 1493) and Elizabeth (Paston), who was a second cousin of King Henry VII; 1529"
Barnborough,monument,Tomb,high,"Barnborough, Yorkshire",Barnborough Church,Tomb of Alice Cresacre
Bexley,monument,Palimpsest,high,"Bexley, Kent",,"Palimpsest monumental brass appropriated for Thomas Sparrow, d. 1513; effigy of man in civilian dress with 3-line Latin foot inscription; English couplet in prayer scroll"
Rouclyff,monument,Monument,high,"Cowthorpe, Yorkshire",,Monumental brass for Brian Rouclyff (d. 1494) & Joanne his wife
Wryght,monument,Monument,high,"Ketteringham, Norfolk",,Monumental brass for Sir Richard Wryght (1515)
Clarrell,monument,monument,high,"Rawmarsh, Yorkshire",,Probably a monumental brass for William Clarrell and wife Margaret; 1460
Middletone,monument,Monument,high,"Spofforth, Yorkshire",,"Monumental brass for Thomas Middleton of Kirkby Overblow, brother of Nicholas Midleton  and wife Joan, (daughter of Sir William Plumpton)"
Marshall,monument,monument,high,"Fishlake, Yorkshire",,Probably a monumental brass (1505)
Godstow,object,hoop,high,"Godstow Oxfordshire (excavated at the Benedictine nunnery at Godstow, Oxfordshire, before 1868)",British Museum (MME AF 1075),"A broad hoop engraved on the outer side with flowers and leaves. Within this are lozenge-shaped panels, engraved with the Trinity, the Virgin and Child, and a bearded male saint"
EvansJ,architectural,inscription,high,Unknown,,Black letter inscription on the inner surface. From the uncatalogued collection of Joan Evans
Godard,monument,memorial,high,"Addlethorpe, Lincolnshire",,Carved memorial in church porch; late fifteenth century
Shavelocke,object,,low,"olim Boston, Lincolnshire",,"Transcription in BL, MS Add. 36295, f.17r [MS owned by John Anstis, antiquarian (1669 –1744)]"
Tylney,monument,monument,high,olim Lincoln Cathedral,,"Not extant; monumental brass for Sir Philip Tilney, husband of Isabel, daughter and coheiress of Sir Edmund Thorp of Ashwellthorpe, Norfolk.  After her death he became a secular canon and was admitted to St Botolph's prebend in Lincoln Cathedral where he was buried in 1453"
Ballotts,monument,incised,high,"Strubby, Lincolnshire",,Small incised slab
Todenham,monument,Monument,high,"St John Maddermarket, Norwich",,"Monumental brass for John Toddenham, c. 1450"
Liverpool,glazing,glass,high,Liverpool,Walker Gallery,Stained glass panel; provenance unknown; probably early sixteenth century
Liverpool2,glazing,glass,high,Liverpool,Walker Gallery,Stained glass panel; provenance unknown; probably early sixteenth century
Liverpool3,glazing,glass,high,Liverpool,Walker Gallery,Stained glass panel; provenance unknown; probably early sixteenth century
Liverpool4,glazing,glass,high,Liverpool,Walker Gallery,Stained glass panel; provenance unknown; probably early sixteenth century
SteepleBumpstead,architectural,pier,high,Essex,Steeple Bumpstead church,On the third pier of the south arcade
Warkworth,architectural,Inscription,high,Banbury,"St. Mary's Church, Warkworth",Inscription in wood on the south side of the chancel
